origin,population,group,operation,path,file_bytes,returned_rows,returned_value_count,returned_numeric_bytes,seconds,cutoff,evidence_id,matrix_cuda_event_ms,host_to_device_payload_bytes,policy,active_groups,phase
0,1024,0,aggregate,data/regional/refinement/origin_000/group_00_aggregate.npz,2284,1512,24,2240,0.0006749434396624565,2013-01-07 12:00:00,c19ab9c7fb5390842fc8546eb5c198a6d71b300da133b7c7d7a5ad6636b155e1,146.41807556152344,5360.0,shared_baseline_setup,-1,
0,1024,1,aggregate,data/regional/refinement/origin_000/group_01_aggregate.npz,2279,1512,24,2240,0.000995180569589138,2013-01-07 12:00:00,cdfd644bfb715afbdd0eb98e2a78cd381d5c363a85caa19b0c53127358aeba9b,1.6891520023345947,5360.0,shared_baseline_setup,-1,
0,1024,2,aggregate,data/regional/refinement/origin_000/group_02_aggregate.npz,2267,1536,24,2240,0.0006221132352948189,2013-01-07 12:00:00,e8ed4d6d8baca5ed4f8f83308feadd96d22da19d1e7cf49115a7777f14b2d256,1.5366719961166382,5360.0,shared_baseline_setup,-1,
0,1024,3,aggregate,data/regional/refinement/origin_000/group_03_aggregate.npz,2272,1536,24,2240,0.0006132535636425018,2013-01-07 12:00:00,6e175b021c1248049fd41d61b75321cdbf6a96c80fb79ba528ff5fa3f443ef1a,1.5369919538497925,5360.0,shared_baseline_setup,-1,
0,1024,4,aggregate,data/regional/refinement/origin_000/group_04_aggregate.npz,2269,1536,24,2240,0.0006187837570905685,2013-01-07 12:00:00,9e1e657f0f819d64dc4cbd1471692f0712c32d8e1b81cacac8019cd5f3f715ca,1.520799994468689,5360.0,shared_baseline_setup,-1,
0,1024,5,aggregate,data/regional/refinement/origin_000/group_05_aggregate.npz,2264,1536,24,2240,0.0005983440205454826,2013-01-07 12:00:00,dd205fd4faaf5596108ef5b2303426d131c09bbdd13c9567d5925301cc530dd5,1.5275520086288452,5360.0,shared_baseline_setup,-1,
0,1024,6,aggregate,data/regional/refinement/origin_000/group_06_aggregate.npz,2269,1536,24,2240,0.0006022937595844269,2013-01-07 12:00:00,8b7fa9927abb779fe809b0d2248c801f9193c521564888b1ed9409a68f2424f6,1.5265599489212036,5360.0,shared_baseline_setup,-1,
0,1024,7,aggregate,data/regional/refinement/origin_000/group_07_aggregate.npz,2256,1536,24,2240,0.0005959141999483109,2013-01-07 12:00:00,271cd301bef1ed4c457891e099f063232daa9b719d1c9db8dc1bf6fbb5110369,1.7536959648132324,5360.0,shared_baseline_setup,-1,
0,1024,8,aggregate,data/regional/refinement/origin_000/group_08_aggregate.npz,2274,1536,24,2240,0.0006152437999844551,2013-01-07 12:00:00,941051de0143ab74b5900a1bbbd6d4203081bad27cb16baca568c74bb47a5050,1.5529600381851196,5360.0,shared_baseline_setup,-1,
0,1024,9,aggregate,data/regional/refinement/origin_000/group_09_aggregate.npz,2268,1536,24,2240,0.0006031841039657593,2013-01-07 12:00:00,822902f90c047a34dcd9c2c1742b10856515786a4304a0fc8f3966f259e3a032,1.5117119550704956,5360.0,shared_baseline_setup,-1,
