origin,cutoff,target,profile,horizon,method,observed_households,cohort_households,observed_sum_kwh,prediction_observed_support_kwh,prediction_full_cohort_kwh,household_mae,household_mse,regional_absolute_error,regional_squared_error
0,2013-01-07 12:00:00,2013-01-07 13:00:00,0,2,exact_twin,4165,4194,996.0520006736042,986.1271163088657,990.5690432302115,0.13853738108921207,0.06424960168914623,9.924884364738618,98.50332965343308
0,2013-01-07 12:00:00,2013-01-07 13:00:00,0,2,seasonal,4165,4194,996.0520006736042,840.5319038284013,844.8475243500395,0.13688559972005446,0.07023219089952111,155.52009684520291,24186.500522741295
0,2013-01-07 12:00:00,2013-01-07 13:00:00,0,2,no_new_observation,4165,4194,996.0520006736042,840.5319038284013,844.8475243500395,0.13688559972005446,0.07023219089952111,155.52009684520291,24186.500522741295
0,2013-01-07 12:00:00,2013-01-07 18:00:00,0,12,exact_twin,4166,4194,1462.7009991238592,1454.4157443306099,1461.155867275836,0.16663338778660097,0.07790171871724715,8.285254793249159,68.64544698905816
0,2013-01-07 12:00:00,2013-01-07 18:00:00,0,12,seasonal,4166,4194,1462.7009991238592,1235.8681654179786,1242.1016164606444,0.1693779067732569,0.08702845800134641,226.8328337058805,51453.13444703963
0,2013-01-07 12:00:00,2013-01-07 18:00:00,0,12,no_new_observation,4166,4194,1462.7009991238592,1235.8681654179786,1242.1016164606444,0.1693779067732569,0.08702845800134641,226.8328337058805,51453.13444703963
0,2013-01-07 12:00:00,2013-01-07 13:00:00,1,2,exact_twin,4165,4194,996.0520006736042,840.5319038284013,844.8475243500395,0.13688559972005446,0.07023219089952111,155.52009684520291,24186.500522741295
0,2013-01-07 12:00:00,2013-01-07 13:00:00,1,2,seasonal,4165,4194,996.0520006736042,840.5319038284013,844.8475243500395,0.13688559972005446,0.07023219089952111,155.52009684520291,24186.500522741295
0,2013-01-07 12:00:00,2013-01-07 13:00:00,1,2,no_new_observation,4165,4194,996.0520006736042,840.5319038284013,844.8475243500395,0.13688559972005446,0.07023219089952111,155.52009684520291,24186.500522741295
0,2013-01-07 12:00:00,2013-01-07 18:00:00,1,12,exact_twin,4166,4194,1462.7009991238592,1235.8681654179786,1242.1016164606444,0.1693779067732569,0.08702845800134641,226.8328337058805,51453.13444703963
0,2013-01-07 12:00:00,2013-01-07 18:00:00,1,12,seasonal,4166,4194,1462.7009991238592,1235.8681654179786,1242.1016164606444,0.1693779067732569,0.08702845800134641,226.8328337058805,51453.13444703963
0,2013-01-07 12:00:00,2013-01-07 18:00:00,1,12,no_new_observation,4166,4194,1462.7009991238592,1235.8681654179786,1242.1016164606444,0.1693779067732569,0.08702845800134641,226.8328337058805,51453.13444703963
